id,Sexe,2024,2023,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2009,2005,2004,2003,2002,2001,,année de naissance,zone
0,F,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Nat C,Nat C,Prov A,Prov A,Prov B,,,,,,,,,,1995,Bas St-Laurent/Gaspésie
1,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,,,,,,,,,,,,,,1966,Montréal
2,M,,,,,,,,,,,,,,,,,Prov A,,,,,
3,F,,,,,,,,,,,,,,,,,,,Prov B,,,
4,M,,,,,,,,,,,,,,,,,,,Prov B,,,
5,M,,,,,,,,,,,,,,,,,Prov B,Prov B,Prov B,,,
6,M,,,,,,,,,Prov B-I,Prov B,,,,,,,,,,,,
7,M,,,2-Cont-I,2-Cont,2-Cont,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,Nat C,,,,,Nat C,Prov A,,1959,Montréal
8,F,,,,2-Cont-I,2-Cont,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Prov A,,,,,,1986,Rive-Sud
9,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,,1952,Lanaudière
10,M,,,,,,,,,,,,,,,,,,2-Cont,2-Cont,,,
11,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
12,M,,,,,Prov A-I,Prov A-I,,,Prov B-I,Prov B,,,,,,,,,,,,Rive-Sud
13,M,,,,,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat C,Nat C,,1977,Montréal
14,M,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,,,1960,Montréal
15,M,,,,,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,,1945,Montréal
16,M,,,,,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,1946,
17,M,,,,,,,,,,,,,,,Prov A,Prov B,,,,,,
18,M,,,,,,,,,Nat C-I,,Prov A,Prov A,Prov A,,,,,,,,1990,
19,M,,,,,,,,,,,,,,,,Prov A,Prov A,Prov B,Prov B,,,
20,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat C,Prov A,Prov A,Prov A,Prov B,,1952,Mauricie
21,M,Nat B,Nat C,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,Prov B,,,,,,,,,,,1956,Mauriie
22,F,,,,,,,,,,,,,,,,,,Prov A,Prov A,,,
23,M,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,,1964,Mauricie
24,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
25,M,,,,,,,,,3-Conf-I,,3-Conf,3-Conf,3-Conf,,,,,,,,,
26,F,,,,,,,,,,,,,,,,,,,Prov A,,,
27,M,,,,,,,,,,,,,Nat C,Prov A,,,,,,,,
28,F,,,,,,,,,Prov A,,Prov A,,,,,,,,,,,
29,M,,,,,,,,,2-Cont-I,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,Nat A,Nat A,,,
30,F,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,1957,Québec
31,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat B,Nat C,Nat C,Nat C,Nat C,Nat C,Prov A,,,,,,,1978,Rive-Sud
32,M,2-Cont,,,,,,,,,,,,,,,,,,,,1965,
33,M,,,,,,,,,,,,,,,Prov B,,,,,,,
34,F,,,,,,,,,,,,,,,,,,1-Int,1-Int,,,
35,M,2-Cont,Nat A,Nat A,Nat A,Nat A,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,,,,,,,,,,1995,Rive-Sud
36,F,,Nat C,Nat C,Nat C,Prov A,Prov B-I,Prov B-I,Prov B,,,,,,,,,,,,,1999,Estrie
37,M,,,,,,,Prov B-I,Prov B-I,,,,,,,,,,,,,1970,Estrie
38,F,Prov B,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,,2002,Saguenay/Lac St Jean
39,M,,,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Prov A,Prov A,Prov B,Prov B,,1955,Mauricie
40,M,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,Nat A,,1957,Bas St-Laurent/Gaspésie
41,F,,,,,,,,,,,,,,,,Prov B,,,,,,
42,M,,,,,,,Nat C,Nat C,Prov A,Prov A,Prov A,,Prov B,,,,,,,,1965,Lanaudière
43,M,,,,Nat B,Nat B,Nat B,Nat B,Nat B,Nat B,Nat B,Nat C,Nat C,Nat C,Prov A,,,,,,,1961,Montréal
44,F,,,,,,,,,,,,,,,,,,,Prov B,,,
45,M,,,,,,Nat C-I,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,Prov B,,,,,,,,,Rive-Sud
46,F,,,,,,,,,Prov B-I,Prov B,,Prov B,Prov B,Prov B,,,,,,,,
47,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,Nat A,Nat A,Nat A,,1962,Bas St-Laurent/Gaspésie
48,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
49,F,Nat B,Nat B,Nat B,Nat C,Prov A,Prov B,,,,,,,,,,,,,,,2000,Estrie
50,M,,,,,,,Prov B,Prov B,,,,,,,,,,,,,,Rive-Sud
51,M,,,,,,,,,Nat C,Nat C,Prov A,Prov A,Prov A,,,,,,,,,
52,M,Nat C,Nat C,Prov A,Prov A,Prov B,,,,,,,,,,,,,,,,1984,Montéregie
53,M,,,,,,,,,,,,,,,Nat B,Nat B,Nat B,Nat C,Nat C,,,
54,M,,,,,,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,,,Nat C,Prov A,Prov A,,1968,Montréal
55,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Prov B,,,,,,1966,Rive-Sud
56,F,,,,,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat C,Nat C,Prov A,Prov A,,1957,Rive-Sud
57,F,,,,,,,,,,,,,,,Nat C,Nat C,Nat C,Prov A,Prov A,,,
58,M,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,,1954,Rive-Sud
59,F,,,,,,,,,,,,,,,,,2-Cont,2-Cont,2-Cont,,,
60,F,Prov A,Prov A,Prov B,Prov B,,,,,,,,,,,,,,,,,1995,
61,M,,,,,Nat C,,,,,,,,,,,Nat C,Nat C,Nat C,Nat C,,1970,
62,M,,,,,,Prov A,Prov A,Prov A,Prov B-I,,Prov B,,,,,,,,,,,Montréal
63,M,,,,Prov A-I,Prov A-I,Prov B,,,,,,,,,,,,,,,1976,Rive-Sud
64,M,,,,,,,,,,,,,,,,,Prov A,Prov A,Prov B,,,
65,M,,,,,,,,,,,,,,,Prov B,,,,,,,
66,M,,,,,,,,,Nat C-I,,,Prov A,Prov A,,,,,,,,1994,
67,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat C,Nat C,Prov A,Prov A,,1955,Lanaudière
68,M,,,,,,,,,,,,,,,,,Nat C,Nat C,Prov A,,,
69,M,,,,,,,,,,,,,,,Prov A,Prov B,,,,,,
70,M,,,,,,,,,,,,,,,Nat A,Nat A,Nat A,Nat A,Nat A,,,
71,M,,,,,,,,,Prov A-I,,Prov A,Prov A,Prov A,Prov B,,,,,,,,
72,M,,,,Prov B,Prov B,,,,,,,,,,,,,,,,2002,
73,M,,Prov B,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,2002,Laurentides
74,M,,,,,,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,,,
75,F,Nat A,Nat C,Prov A,Prov A,,,,,,,,,,,,,,,,,2002,Saguenay/Lac St Jean
76,M,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,,,1943,Montréal
77,F,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,Nat A,Nat A,Nat A,Nat A,Nat C,Prov A,Prov A,Prov A,,,,,,,,1978,Rive-Sud
78,M,,,,,,,,Prov A,Prov B,Prov B,,,,,,,,,,,,
79,F,,,,,,,,,,,Prov B,,,,,,,,,,,
80,F,,,,,,Nat C,Nat C,Nat C,,,,,,,,,,,,,1962,Montréal
81,F,,,,,,Prov B-I,,,,,,,,,,,,,,,,Québec
82,M,,,,,,,,,Prov A-I,,Prov A,Prov A,Prov B,,,,,,,,,
83,M,,,,,,,,2-Cont,2-Cont,2-Cont,2-Cont,,,,,,,,,,1981,
84,M,,,,,,,,,,,,,,,3-Conf,Nat A,Nat A,Nat A,Nat A,,,
85,M,,,,,,,,,,,,,,,,,,,Prov B,,,
86,F,Prov A,Prov B,Prov B,,,,,,,,,,,,,,,,,,1984,Capitale Nationale
87,M,,,,,,,,,,,,,,,Prov A,Prov A,Prov A,Prov A,Prov A,,,
88,F,,Prov A,Prov A,Prov B,,,,,,,,,,,,,,,,,,Capitale Nationale
89,M,,,,,,,,,,,,,,,Prov B,,,,,,,
90,M,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,,
91,M,,,Nat A-I,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat C,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,,1977,Montréal
92,M,,,,,,,,,,,,,,,,,Prov A,Prov A,,,,
93,F,2-Cont,2-Cont,2-Cont,Nat A,Nat A,Nat B,Nat C,Prov A,,,,,,,,,,,,,1995,Outaouais
94,F,,,,,,Prov B,,,,,,,,,,,,,,,,Outaouais
95,F,,,,,,,,,,,,,,Nat C,,,,,,,,
96,F,,,,,,,,,,,,,,,,,Prov A,,,,,
97,M,,,,,,,,,,,,,,,Nat C,Nat C,Nat C,Nat C,Nat C,,,
98,M,,,,,,,,,,,,,,,,,Prov B,,,,,
99,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat C,Prov A,Prov B,Prov B,Prov B,,,,,,,,,,1992,Montréal
100,M,,,,,,,,,,,,,,,Prov A,Prov A,Prov B,,,,,
101,F,,,,,,Prov B,,,,,,,,,,,,,,,,Bas St-Laurent/Gaspésie
102,M,,,,,,,,,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat A,,,
103,F,,,,,,,,,Nat C-I,Prov A,Prov B,Prov B,,,,,,,,,1994,
104,M,,,,,,,,,,,,,,,,Nat A,Nat A,Nat A,Nat A,,,
105,M,,,,,,,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,,,,,,,,1992,Saguenay/Lac St-Jean
106,M,,,,,,,,,,,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,,,
107,M,Prov A,Prov A,Prov A,Prov B,,,,,,,,,,,,,,,,,2005,Centre-du-Quebec/Estrie
108,M,2-Cont,Nat A,Nat A,Nat A,Nat A,Nat B,Prov A,Prov A,Prov A,Prov A,Prov A,Prov A,Prov B,,,,,,,,1973,Centre-du-Quebec/Estrie
109,M,,,,,,,,,,,,,,,Nat C,Nat C,Nat C,Nat C,Nat C,,,
110,M,,,,,,,,,Nat B-I,,,,,Nat B,,,Nat B,Nat B,Nat C,,,
111,F,,,,,,,,,,,,,,Nat C,,,,,,,,
112,M,,,,,,,,,Nat A-I,,Nat A,Nat A,Nat A,Nat B,Nat C,Prov A,Prov A,Prov A,,,,
113,M,,,,,,,Nat A,Nat A,Nat A-I,Nat A,Nat A,Nat A,Nat A,,,,,,,,1967,Rive-Sud
114,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,Nat A,Nat A,Nat B,Nat B,Prov A,Prov A,Prov A,,,,,,,,1959,Rive-Sud
115,M,,,,,,,,,,,,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,3-Conf,,,
116,F,Nat B,Nat B,Nat B,Nat C,Nat C,Prov A,Prov B,,,,,,,,,,,,,,1983,Rive-Sud
117,M,,,,,,,,,,,,,,,,,2-Cont,2-Cont,2-Cont,,,
118,M,,,,,,,Nat C,Nat C,Nat C,Prov A,Prov A,Prov B,,,,,,,,,1960,Rive-Sud
119,M,,,,,,,Prov A-I,Prov A-I,Prov B,Prov A,,,,,,,,,,,,Rive-Sud
120,M,Prov B,,,,,,,,,,,,,,,,,,,,1974,
121,M,,Prov B,Prov B,,,,,,,,,,,,,,,,,,2004,Centre-du-Quebec/Estrie
122,M,,,,,,,,,,,,,,,Nat B,Nat B,Nat B,Nat B,Nat B,,,
123,F,,,,,,,,Prov B,Prov B,,,,,,,,,,,,,
124,M,,,,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,1942,
125,M,,,,,,,,,Prov B-I,,,,,,,,,,,,,
126,M,,Nat C,Nat C,,,,,,,,,,,,,,,,,,1987,Capitale Nationale
127,F,,,,,,,,,,,,,,Prov B,,,,,,,,
128,M,,,,,,,Nat A,Nat A,,,,,Nat A,Nat A,Nat A,Nat C,Nat C,Prov A,Prov B,,1960,
129,M,,,2-Cont-I,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,,2-Cont,2-Cont,3-Conf,Nat A,,,,,,,1961,Montréal
130,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat C,Prov A,Prov A,Prov A,Prov B,,1980,Bas St-Laurent/Gaspésie
131,M,,,,,,,,,,,,,,,Prov A,,,,,,,
132,M,,,,,,,,,Prov B-I,Prov B,Prov B,,,,,,,,,,,
133,M,,,,,Nat A,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat B,Nat C,Prov A,Prov A,Prov A,Prov A,Prov A,,1951,Québec
134,M,2-Cont,,,,2-Cont,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat B,Nat C,Prov A,,,,,,,1958,Rive-Sud
135,F,,,,,Nat B-I,Prov A,Prov A,,,,,,,,,,,,,,1997,Rive-Sud
136,M,,,,,,Prov B,Prov B,,,,,Prov B,Prov B,,,,,,,,,Rive-Sud
137,M,,,,,,,,,,,,,,,Prov B,Prov B,,,,,,
138,M,,,,,,,,,,,,,2-Cont,2-Cont,3-Conf,3-Conf,Nat A,Nat A,Nat A,,,
139,M,,,,,,,,,,,,,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,,1939,
140,M,,,,,,,Nat C-I,Nat C-I,Nat C-I,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,Prov A,Prov A,Prov A,,1953,Québec
141,F,,,,,,,,,Nat A-I,Nat A,Nat A,Nat A,Nat B,Nat B,Prov B,,,,,,1984,
142,M,,,,,,,,,Prov B-I,,,,,,,,,,,,,
143,F,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,,,2006,Mauricie
144,M,,,,,,,,,,,,,,,,Nat C,Nat C,Nat C,Nat C,,,
145,M,Nat B,Nat B,Nat B,Nat C,Prov A,Prov B,,,,,,,,,,,,,,,1983,Lanaudière
146,F,2-Cont,2-Cont,Nat A,Nat A,Nat A,Nat C,Prov A,Prov A,Prov B,Prov B,,,,,,,,,,,1994,Saguenay/Lac St-Jean
147,M,,,,,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,,,,,,,,,,,,1970,Québec
148,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Nat B,Nat B,Nat C,Nat C,Prov A,Prov A,Prov A,Prov A,,,,,,,1955,Rive-Sud
149,M,1-Int,1-Int,1-Int,2-Cont,,,,,,,,,,,,,,,,,1976,Montréal
150,M,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,,1959,Bas St-Laurent/Gaspésie
151,M,Nat B,Nat B,Nat B,Nat C,Prov A,Prov B,Prov B,,,,,,,,,,,,,,1997,Montréal
152,M,,Prov B,Prov B,Prov B,,,,,,,,,,,,,,,,,2004,Saguenay/Lac St-Jean
153,M,Nat B,Nat B,Nat B,Nat C,Prov A,Prov B,Prov B,,,,,,,,,,,,,,1975,Rive-Sud
154,M,,,,,,Nat C,Nat C,Nat C,Nat C,Nat C,Nat C,Nat C,Nat C,Nat C,Prov A,Prov A,Prov A,Prov A,,,,Montréal
155,M,,,,,,,,,,,,,,,Prov A,Prov A,,,,,,
156,M,,,,,,,,,,,,,,Nat B,Nat C,Prov A,Prov A,Prov A,,,,
157,F,,Prov A,Prov A,Prov B,Prov B,,,,,,,,,,,,,,,,2001,Mauricie
158,M,,,,,Nat B-I,Nat B,Nat B,Nat B,Nat B,Prov A,Prov A,Prov B,Prov B,,,,,,,,1981,Bas St-Laurent/Gaspésie
159,M,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,3-Conf,3-Conf,3-Conf,Nat A,Nat A,Nat A,Nat B,Nat B,Prov B,Prov B,,,,,1985,Montréal
160,M,,,,,,,,,,,,,,,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,,
161,M,,,,,,,,,,,,,,,,,,Prov A,,,,
162,M,,,,,,,,,,,,,,,Prov A,Prov A,,Prov A,,,,
163,M,,,,,,,,,Prov B-I,,,,,,,,,,,,,
164,F,,,,,,,,,,,,,,,Prov B,,,,,,,
165,M,,,1-Int,1-Int,1-Int,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,3-Conf,Nat A,Nat A,Nat A,Nat C,Nat C,,1973,Saguenay/Lac St-Jean
166,F,,,,,,,Prov B,Prov B,Prov B,,,,,,,,,,,,1976,Rive-Sud
167,M,,,,,,,,,,,,,,,Prov A,Prov A,Prov A,Prov A,Prov B,,,
168,M,,,,,,,,,,,,,,,2-Cont,2-Cont,2-Cont,2-Cont,2-Cont,,,
169,M,,,,,,Nat A,Nat A,Nat A,Nat A,Nat C,Prov A,Prov A,Prov A,,,,,,,,1992,Saguenay/Lac St-Jean
170,M,Nat C,Prov A,Prov A,,Prov A,Prov A,Prov A,Prov A,Prov A,Prov A,Prov A,Prov B,Prov B,,,,,,,,1953,Montréal
171,M,,,,,,,,,,,,,,,Prov A,Prov A,Prov A,,,,,
172,M,Nat A,Nat A,Nat A,Nat A,Nat A,Nat B,Prov A,Prov A,Prov A,,Prov A,Prov B,,,,,,,,,1972,Lanaudière
173,F,,,,,,Prov B-I,,,,,,,,,,,,,,,,Outaouais
174,M,,,,,,Prov B,,,,,,,,,,,,,,,,Laval
